Store,California 1 (ID:46673),California 2 (ID:4904),New York 1 (ID:12631),New York 2 (ID:20974)
16-06-2015,172.06567,359.2945,258.1965,239.2185
17-06-2015,175.1587,347.8354,276.1955,254.3795
18-06-2015,164.80336,308.866,302.6475,248.0047
19-06-2015,100.78962,212.2648,307.1361,219.4262
20-06-2015,76.67597,212.9511,233.2254,171.216
21-06-2015,168.66758,336.5967,266.3445,229.147
22-06-2015,176.52969,336.8785,246.8641,245.2863
23-06-2015,160.78112,359.2945,258.1966,239.2185
24-06-2015,173.27133,347.8354,276.1956,254.3795
25-06-2015,164.4877,308.866,302.6476,248.0047
26-06-2015,100.73682,212.2648,307.1361,219.4262
27-06-2015,76.66714,212.9511,233.2255,171.216
28-06-2015,168.6661,336.5967,266.3446,229.147
29-06-2015,176.52944,336.8785,246.8641,245.2863
